# pycats ICE prioritization — advisory ranking spine (#449, spec #199).
# ICE = I x C x E  (Ease multiplies). Rank ties break by lowest issue# (FIFO). Rubric (lccjs, verbatim):
#   I (Impact):     3=massive 2=high 1=medium 0.5=low 0.25=minimal
#   C (Confidence): 1.0=high 0.8=medium 0.5=low
#   E (Ease):       10=trivial 7=easy 5=moderate 3=hard 1=very-hard
# Composition: ICE is the slot-3 sort key under bug -> blocker -> ICE (never floats above a bug).
# Scoring: full open-queue refresh (2026-07-06T18:11:14-1000, #679) grounded in the issue-review-skill readiness
#   rubric: verdict->C (READY=1.0 / NEEDS WORK=0.8 / BLOCK=0.5), single-deliverable+file-specificity
#   +scope->E, feature-role->I. Impact snapped to the {0.25,0.5,1,1.5,2,3} grid. Open to human
#   refinement (edit any row; the git diff is the review gate).
# actionable=0 rows are containers/epics/trackers (never ranked, kept for reference; #199 rule).
# Skills read this file via `grep -v '^#'`, so these comment lines are ignored by parsers.
issue,title,type,I,C,E,ice_score,ice_rank,tier,yegor_priority,actionable,provisional,labels,notes,updated_iso
600,docs(rules): human-authorized direct push ok,docs,2,1.0,10,20.0,1,,,1,0,"documentation,area:tracker",Trivial 2-file wording edit with exact proposed text; rule affects every agent's close behavior.,2026-07-06T18:11:14-1000
491,decision: DOUBLE_TAP_WINDOW value + kind,decision,1.5,1.0,10,15.0,2,,,1,0,"decision,area:entities",Exemplary FOUND/GUESS split + options table; single human-comment ruling unblocks #489.,2026-07-06T18:11:14-1000
280,decision: revisit shell-stays-in-game.py ruling,decision,2,1.0,7,14.0,3,,,1,0,"decision,area:screens","Single sharp architecture question on game.py, names the file, coordinated explicitly with #257",2026-07-06T18:11:14-1000
633,DEV: enable pmtools ruff pre-close verify gate,dev,2,1.0,7,14.0,4,,,1,0,"enhancement,area:tracker","Exact acceptance criteria, named files, worktree-venv gotcha flagged; foundational close-gate, high ICE.",2026-07-06T18:11:14-1000
493,"Adopt statecharts-py as pip package, not -e path",dev,2,0.8,7,11.2,5,,,1,0,"enhancement,area:docs",'enhancement' label but body still forks an open HOW decision (PyPI vs git-URL) unresolved.,2026-07-06T18:11:14-1000
242,Air-dodge intangibility window: PM 49f vs 14f,decision,1.5,1.0,7,10.5,6,,,1,0,"decision,area:combat","Feel/design decision doc, canon+recommendation given; gates #192 tuning; needs human ruling not code.",2026-07-06T18:11:14-1000
503,research: PDD puzzle-driven-dev feasibility gap,research,1.5,1.0,7,10.5,7,,,1,0,"research,area:tracker","Clear questions, lccjs-vs-pycats inventory, adopt/decline deliverable, timeboxed 45m.",2026-07-06T18:11:14-1000
539,spike: validate PM respawn-invuln mechanics,research,1.5,1.0,7,10.5,8,,,1,0,"research,area:entities",Fully scoped validation w/ Termination criteria; blocks #506 DEV on invuln duration,2026-07-06T18:11:14-1000
657,Grabs-left dots above head (5-regrab cutoff),dev,1.5,1.0,7,10.5,9,,,1,0,"enhancement,area:display",Fully specced grabs-left dots; blocked (label) by #656's counter not existing yet,2026-07-06T18:11:14-1000
658,Grab-invuln frame dots (supersede #531 bar),dev,1.5,1.0,7,10.5,10,,,1,0,"enhancement,area:display",Fully specced dot-indicator swap w/ exact test values; blocked (label) by #552 landing first,2026-07-06T18:11:14-1000
