fighter,codename,walk_max_vel,dash_init_vel,dash_run_term_vel,gravity,term_vel_base_fall,fastfall_velocity,jump_y_init_vel,jump_y_init_vel_short,air_jump_y_mult,num_jumps,weight
"Captain Falcon",Captain,0.85,2.0,2.3,0.13,2.9,3.5,3.23,2.03,0.9,2,104.0
"King Dedede",Dedede,0.95,1.4,1.22,0.095,2.25,3.3,2.6,1.6,1.0,4,112.0
"Diddy Kong",Diddy,1.25,1.7,1.9,0.12,2.55,2.95,3.1,2.05,0.9,2,85.0
"Donkey Kong",Donkey,1.2,1.8,1.8,0.1,2.4,2.96,2.8,1.7,1.0,2,114.0
"Falco",Falco,1.4,1.9,1.5,0.17,3.1,3.5,4.27,2.07,0.94,2,80.0
"Fox",Fox,1.6,1.9,2.2,0.23,2.8,3.4,3.91,2.33,0.9,2,75.0
"Giga Bowser",GKoopa,0.6,1.9,1.7,0.2,2.8,3.5,4.2,3.0,0.9,2,140.0
"Mr. Game & Watch",GameWatch,1.1,1.5,1.5,0.095,1.7,2.3,2.395,1.495,0.9,2,75.0
"Ganondorf",Ganon,0.73,1.3,1.35,0.13,2.0,2.6,2.73,2.13,1.0,2,109.0
"Ike",Ike,1.2,2.0,1.55,0.103,2.05,2.9,2.65,1.85,1.0,2,105.0
"Kirby",Kirby,0.85,1.5,1.5,0.08,1.6,2.2,2.08,1.58,0.0,6,74.0
"Bowser",Koopa,0.75,1.3,1.65,0.13,1.9,2.5,2.93,1.73,0.9,2,118.0
"Link",Link,1.2,1.5,1.4,0.11,2.13,3.0,2.61,1.61,1.0,2,104.0
"Lucario",Lucario,1.3,2.05,1.85,0.125,2.0,2.5,3.1,1.95,0.85,2,100.0
"Lucas",Lucas,0.82,1.725,1.725,0.125,2.3,2.7,3.5,1.75,1.2,2,80.0
"Luigi",Luigi,1.1,1.3,1.34,0.069,1.6000003,2.0,2.469,1.469,0.9,2,100.0
"Mario",Mario,1.1,1.5,1.5,0.095,1.7,2.3,2.395,1.495,0.9,2,100.0
"Marth",Marth,1.6,1.5,1.8,0.085,2.2,2.5,2.485,1.585,1.0,2,87.0
"Meta Knight",Metaknight,1.22,1.75,2.1,0.11,2.45,2.85,2.7,1.77,1.0,4,79.0
"Mewtwo",Mewtwo,1.0,1.4,1.4,0.082,1.5,2.3,2.382,1.482,0.9,2,97.0
"Ness",Ness,0.84,1.45,1.6,0.09,1.83,2.2,2.59,1.59,1.0,2,94.0
"Peach",Peach,0.85,1.2,1.3,0.08,1.5,2.0,2.28,1.68,0.9,2,90.0
"Pikachu",Pikachu,1.24,1.8,1.8,0.11,1.9,2.7,2.71,1.81,0.8,2,80.0
"Olimar",Pikmin,0.9,1.4,1.61,0.09,1.9,2.2,2.4,1.3,0.9,2,90.0
"Pit",Pit,1.18,1.5,1.82,0.095,1.9,2.4,2.6,1.4,1.0,4,80.0
"Ivysaur",PokeFushigisou,1.05,1.4,1.5,0.075,1.7,2.15,2.16,1.512,0.9,2,85.0
"Charizard",PokeLizardon,0.7,1.5,2.07,0.095,1.7,2.8,2.9,1.85,0.9,3,110.0
"Squirtle",PokeZenigame,0.9,1.32,1.45,0.126,1.7,2.5,2.8,2.0,1.0,2,82.0
"Ice Climbers",Popo,0.95,1.4,1.4,0.1,1.6,2.0,2.7,1.5,0.9,2,88.0
"Jigglypuff",Purin,0.7,1.4,1.1,0.064,1.3,1.6,1.664,1.114,0.0,6,60.0
"R.O.B.",Robot,1.1,1.24,1.55,0.09,2.0,2.55,2.65,1.8,0.9,2,104.0
"Roy",Roy,1.2,1.4,1.61,0.114,2.4,2.9,2.714,1.614,1.0,2,85.0
"Zero Suit Samus",SZerosuit,1.35,1.7,2.05,0.135,2.05,2.75,3.2,2.0,0.9,2,85.0
"Samus",Samus,1.0,1.86,1.55,0.066,1.4,2.3,2.166,1.766,0.9,2,110.0
"Sheik",Sheik,1.2,1.7,1.8,0.12,2.13,3.0,2.92,2.26,1.0,2,90.0
"Snake",Snake,0.875,1.3,1.55,0.098,2.12,2.89,2.42,1.59,0.9,2,105.0
"Sonic",Sonic,1.4,1.7,4.0,0.111,1.9,2.4,2.88,1.8,0.9,2,82.0
"Toon Link",ToonLink,1.2,1.8,1.6,0.11,2.13,3.0,2.73,1.61,1.0,2,85.0
"Wario",Wario,0.85,1.3,1.55,0.112,1.85,2.4,2.55,1.65,0.9,2,107.0
"Wario-Man",WarioMan,1.3,1.9,2.2,0.15,2.8,3.4,3.5,1.9,0.3,3,130.0
"Wolf",Wolf,1.3,2.1,2.0,0.16,3.2,3.4,3.2,2.0,0.9,2,85.0
"Yoshi",Yoshi,1.15,1.33,1.6,0.093,1.93,2.93,2.593,1.893,1.2,2,108.0
"Zelda",Zelda,0.8,1.275,1.275,0.073,1.4,2.15,2.173,1.6,0.9,2,90.0
